# DiscordGuard Scraped Raw Data
# ============================================================
# THIS FILE IS AUTO-GENERATED. DO NOT EDIT MANUALLY.
#
# Regenerate by running: python scripts/scraper.py
# Compile into JSON:     python scripts/compile-lists.py --target <profile>
# ============================================================
! BEGIN SCRAPED
! Scraped: 2026-03-07T08:22:27Z
! Source: disboard.org
! Tags scraped (hard-blocked): nsfw, adult, 18+, hentai, gore, explicit, porn, lewd, erotic, xxx, ai-girlfriend, ai-boyfriend, ai-companion, ai-roleplay, ai-chat, ai-waifu, virtual-girlfriend, virtual-companion, character-ai, replika, ai-romance, ai-dating, ai-relationship, companionship, ai-friend
! Tags scraped (teen-flagged): mature, suggestive, dating, relationship, artificial-intelligence, ai, chatgpt, claude, llm, generative-ai, ai-generated, ai-art, stable-diffusion, midjourney, ai-tools
! Total servers: 575
!
! SECTION hard-blocked
! Servers from hard-blocked tags — included in child-safe and family-safe lists
||server:1460553461786480808  ! name: unknown | tags: porn | source_tag: nsfw
||server:1460557914111475725  ! name: unknown | tags: adult | source_tag: nsfw
||server:1460580587730370592  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1460594198330740899  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1460611600347037758  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1460617885754982502  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1460631688702070953  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1460733137796464904  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1460739712917573837  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1460790615519399948  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1460795023720190138  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1460795989366542504  ! name: unknown | tags: porn | source_tag: nsfw
||server:1460807149721751657  ! name: unknown | tags: adult, nsfw | source_tag: nsfw
||server:1460827112998043877  ! name: unknown | tags: adult | source_tag: nsfw
||server:1460828149590790210  ! name: unknown | tags: adult | source_tag: nsfw
||server:1460831650165559360  ! name: unknown | tags: adult | source_tag: nsfw
||server:1460842806510616598  ! name: unknown | tags: adult | source_tag: nsfw
||server:1461751339473309861  ! name: unknown | tags: replika | source_tag: ai_companion
||server:1464890719436144683  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1466034734978170895  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1466035323736817833  ! name: unknown | tags: xxx | source_tag: nsfw
||server:1466790820970627297  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1466790828482760800  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1466790836279840911  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1466790850901053613  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1466790961249259727  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1466791197682176177  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1466791273334706218  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1466791736109043869  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1466791809698234542  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1466791952027484162  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1466792127265636395  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1466792207691546648  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1466792232433483970  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1466792700715073740  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1466792867128410189  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1466793509871681597  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1466794271859544207  ! name: unknown | tags: porn | source_tag: nsfw
||server:1466794457822396629  ! name: unknown | tags: porn | source_tag: nsfw
||server:1466794864883798119  ! name: unknown | tags: porn | source_tag: nsfw
||server:1466795031229759622  ! name: unknown | tags: porn | source_tag: nsfw
||server:1466795054784975040  ! name: unknown | tags: porn | source_tag: nsfw
||server:1466795197634707683  ! name: unknown | tags: porn | source_tag: nsfw
||server:1467994260404965387  ! name: unknown | tags: 18+ | source_tag: nsfw
||server:1468896080086171660  ! name: unknown | tags: explicit | source_tag: nsfw
||server:1468978539633316118  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1468985088346816821  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469006441464729602  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469012613147918555  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469020205861834865  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469064288449593386  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469071475540623575  ! name: unknown | tags: adult | source_tag: nsfw
||server:1469074900911395002  ! name: unknown | tags: adult | source_tag: nsfw
||server:1469086556596736196  ! name: unknown | tags: adult, nsfw | source_tag: nsfw
||server:1469093324974588148  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469097477457182883  ! name: unknown | tags: adult | source_tag: nsfw
||server:1469105499478818979  ! name: unknown | tags: adult, nsfw | source_tag: nsfw
||server:1469111689306833069  ! name: unknown | tags: adult | source_tag: nsfw
||server:1469114646777565291  ! name: unknown | tags: adult | source_tag: nsfw
||server:1469123060584943771  ! name: unknown | tags: adult | source_tag: nsfw
||server:1469124874994712732  ! name: unknown | tags: adult, nsfw | source_tag: nsfw
||server:1469129499823050920  ! name: unknown | tags: adult | source_tag: nsfw
||server:1469130843619328103  ! name: unknown | tags: adult | source_tag: nsfw
||server:1469134006904688722  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469140020689375448  ! name: unknown | tags: adult | source_tag: nsfw
||server:1469167512863379579  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469168007849971806  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469183385812471911  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469185157322768439  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469190639584280683  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469194027416027300  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469197992665026666  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469198568656076912  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469205058540539959  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1469205734863671426  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469211125836157085  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469215472275951892  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1469217244776103968  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469218897403187244  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469222016832766086  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469227716015292449  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469233682005885133  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469234542052118601  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469238697580036230  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1469243338363506843  ! name: unknown | tags: hentai | source_tag: nsfw
||server:1469243794825416759  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469246021681811555  ! name: unknown | tags: porn | source_tag: nsfw
||server:1469249454027706564  ! name: unknown | tags: nsfw | source_tag: nsfw
||server:1469261134992248855  ! name: unknown | tags: nsfw | source_tag: nsfw
